State,Crop,Year,Rainfall,Temperature,Humidity,Soil_Type,Nitrogen,Phosphorus,Potassium,Area,Yield
Andhra Pradesh,Rice,2015,515,32,90,Sandy,88,58,44,3871,3.11
Andhra Pradesh,Rice,2016,887,29,35,Loamy,57,60,23,4215,3.1
Andhra Pradesh,Rice,2017,1650,33,32,Black,40,36,21,3695,4.78
Andhra Pradesh,Rice,2018,1598,16,92,Alluvial,62,44,27,3094,5.09
Andhra Pradesh,Rice,2019,614,34,80,Alluvial,52,59,31,4987,3.07
Andhra Pradesh,Rice,2020,981,32,43,Black,85,42,34,1172,3.67
Andhra Pradesh,Rice,2021,885,17,60,Alluvial,68,44,50,3220,3.39
Andhra Pradesh,Rice,2022,1898,19,74,Red,66,58,25,1441,5.7
Andhra Pradesh,Rice,2023,480,23,37,Black,93,53,47,2540,3.48
Andhra Pradesh,Rice,2024,1818,17,37,Clay,73,29,22,2501,5.57
Andhra Pradesh,Wheat,2015,883,22,35,Red,86,58,27,3848,4.05
Andhra Pradesh,Wheat,2016,1919,16,68,Loamy,55,32,25,2318,5.36
Andhra Pradesh,Wheat,2017,1044,26,85,Clay,66,57,36,3938,3.91
Andhra Pradesh,Wheat,2018,1591,23,30,Red,75,37,37,2957,4.36
Andhra Pradesh,Wheat,2019,1847,30,30,Sandy,44,42,46,4322,5.37
Andhra Pradesh,Wheat,2020,366,26,47,Black,70,29,28,4459,2.49
Andhra Pradesh,Wheat,2021,1884,19,90,Black,93,44,41,2815,5.21
Andhra Pradesh,Wheat,2022,592,32,76,Sandy,45,59,59,2516,3.18
Andhra Pradesh,Wheat,2023,1211,16,84,Black,61,25,42,1333,3.9
Andhra Pradesh,Wheat,2024,320,27,68,Sandy,67,43,56,4628,3.08
Andhra Pradesh,Maize,2015,919,27,37,Sandy,84,42,20,3946,3.37
Andhra Pradesh,Maize,2016,684,24,90,Sandy,82,33,56,2845,3.79
Andhra Pradesh,Maize,2017,1359,30,54,Clay,59,26,39,4483,4.16
Andhra Pradesh,Maize,2018,1875,17,39,Clay,70,38,58,2325,5.2
Andhra Pradesh,Maize,2019,1102,33,39,Red,85,27,50,3135,4.24
Andhra Pradesh,Maize,2020,1067,19,65,Alluvial,47,45,35,3279,3.95
Andhra Pradesh,Maize,2021,629,22,43,Red,89,55,59,1216,3.15
Andhra Pradesh,Maize,2022,1880,27,54,Clay,80,38,22,3377,5.16
Andhra Pradesh,Maize,2023,1540,23,57,Loamy,96,51,27,4677,5.21
Andhra Pradesh,Maize,2024,856,20,57,Loamy,75,41,43,2613,3.87
Andhra Pradesh,Barley,2015,1099,24,88,Laterite,42,54,46,2003,3.68
Andhra Pradesh,Barley,2016,1170,20,52,Red,81,34,28,3612,3.8
Andhra Pradesh,Barley,2017,527,27,69,Black,56,48,45,1664,2.78
Andhra Pradesh,Barley,2018,1493,18,70,Alluvial,50,32,32,1951,4.27
Andhra Pradesh,Barley,2019,1418,18,90,Sandy,57,31,51,3951,4.55
Andhra Pradesh,Barley,2020,886,35,43,Sandy,48,55,57,1605,3.84
Andhra Pradesh,Barley,2021,624,34,70,Laterite,41,25,36,4310,3.13
Andhra Pradesh,Barley,2022,1915,23,61,Alluvial,69,28,25,2429,4.83
Andhra Pradesh,Barley,2023,373,21,73,Sandy,75,48,35,2484,2.66
Andhra Pradesh,Barley,2024,1293,33,35,Black,94,39,44,1632,4.74
Andhra Pradesh,Millets,2015,1130,24,92,Loamy,90,27,38,1021,4.16
Andhra Pradesh,Millets,2016,1615,18,33,Red,49,22,46,831,4.21
Andhra Pradesh,Millets,2017,1918,15,35,Black,88,34,48,1831,5.7
Andhra Pradesh,Millets,2018,1848,29,86,Red,55,35,49,2517,4.98
Andhra Pradesh,Millets,2019,1871,26,31,Alluvial,73,28,29,4225,5.64
Andhra Pradesh,Millets,2020,937,19,50,Loamy,76,56,33,4515,3.61
Andhra Pradesh,Millets,2021,1079,26,62,Black,86,31,35,1802,3.92
Andhra Pradesh,Millets,2022,1416,25,72,Loamy,92,55,41,4095,4.17
Andhra Pradesh,Millets,2023,1425,31,34,Sandy,53,29,21,2910,4.48
Andhra Pradesh,Millets,2024,634,31,83,Laterite,62,55,44,2783,3.57
Andhra Pradesh,Cotton,2015,817,30,85,Red,88,52,41,4244,3.69
Andhra Pradesh,Cotton,2016,443,33,62,Clay,95,59,55,2449,3.07
Andhra Pradesh,Cotton,2017,1081,27,79,Clay,44,21,32,3339,3.21
Andhra Pradesh,Cotton,2018,324,25,66,Red,60,22,51,3102,2.18
Andhra Pradesh,Cotton,2019,728,30,49,Clay,78,60,51,3764,3.04
Andhra Pradesh,Cotton,2020,1317,27,40,Laterite,51,59,49,3425,4.07
Andhra Pradesh,Cotton,2021,823,23,44,Loamy,81,60,52,2602,3.79
Andhra Pradesh,Cotton,2022,1706,32,52,Red,93,55,25,597,5.2
Andhra Pradesh,Cotton,2023,444,30,80,Black,86,42,32,2017,3.05
Andhra Pradesh,Cotton,2024,1486,24,48,Loamy,81,29,40,4273,4.21
Andhra Pradesh,Sugarcane,2015,1264,32,31,Red,54,45,30,3591,3.63
Andhra Pradesh,Sugarcane,2016,800,22,32,Black,92,56,20,2234,3.48
Andhra Pradesh,Sugarcane,2017,1210,23,75,Alluvial,92,58,40,3722,4.51
Andhra Pradesh,Sugarcane,2018,496,24,90,Alluvial,79,37,57,968,2.49
Andhra Pradesh,Sugarcane,2019,729,22,95,Clay,67,45,60,716,3.2
Andhra Pradesh,Sugarcane,2020,1929,35,91,Sandy,44,54,37,700,4.66
Andhra Pradesh,Sugarcane,2021,1658,33,81,Black,53,38,25,3147,4.6
Andhra Pradesh,Sugarcane,2022,1744,29,60,Laterite,68,46,47,2833,4.58
Andhra Pradesh,Sugarcane,2023,1623,19,48,Sandy,76,26,33,2201,4.82
